isin	cusip	currency	coupon_percent	face_value	issued_by	status	type	bond_maturity_date
A12356111	123456bh0	USD	2	900	UBS Facebook (USD)	active	CORP	30/09/2021
GB00B6460505	BDCHBW8	GBP	0.75	900	HM Treasury United Kingdom	active	GOVN	09/08/2021
GB00B6460506	BDCHBW8	GBP	0.75	900	HM Treasury United Kingdom	active	GOVN	09/08/2021
GB00B6460507	BDCHBW8	GBP	0.75	900	HM Treasury United Kingdom	active	GOVN	09/08/2021
GB00B6460508	BDCHBW8	GBP	0.75	900	HM Treasury United Kingdom	active	GOVN	09/08/2021
GB00B6460509	BDCHBW8	GBP	0.75	900	HM Treasury United Kingdom	active	GOVN	09/08/2021
GB00B6460510	BDCHBW8	GBP	0.75	900	HM Treasury United Kingdom	active	GOVN	09/08/2021
GB00B6460511	BDCHBW8	GBP	0.75	900	HM Treasury United Kingdom	active	GOVN	09/08/2021
GB00B6460512	BDCHBW8	GBP	0.75	900	HM Treasury United Kingdom	active	GOVN	09/08/2021
GB00B6460513	BDCHBW8	GBP	0.75	900	HM Treasury United Kingdom	active	GOVN	09/08/2021
GB00B6460514	BDCHBW8	GBP	0.75	900	HM Treasury United Kingdom	active	GOVN	09/08/2021
GB00B6460515	BDCHBW8	GBP	0.75	900	HM Treasury United Kingdom	active	GOVN	09/08/2021
IE00B29LNP31	87973RAA8	USD	1.123	340	First Norway Alpha Kl.IV	active	SOVN	22/12/2030
US87973RAA86	87973RAA8	USD	2.02	690	TEMASEK FINL I LTD GLOBAL MEDIUM TERM NTS BOOK ENTRY REG S	active	SOVN	06/08/2021
USN0280EAR64	123456780	USD	3.15	900	Airbus 3.15%  USD	active	CORP	30/07/2021
USU02320AG12	AMZN 3.15 08/22/27 REGS	USD	3.15	900	Amazon	active	CORP	03/08/2021
XS1988387210		USD	4.37	1000	"BNPParibasIssu 4,37% Microsoft Corp (USD)"	active	CORP	05/08/2021
